Unnamed: 0,origin_date,target,target_end_date,horizon,location,output_type,output_type_id,value
34,2024-10-30,ILI incidence,2024-11-10,3,HU,quantile,0.15,164.54822097838834
35,2024-10-30,ILI incidence,2024-11-17,4,HU,quantile,0.15,159.74370827396902
40,2024-10-30,ILI incidence,2024-10-27,1,HU,quantile,0.2,190.59395971552183
41,2024-10-30,ILI incidence,2024-11-03,2,HU,quantile,0.2,179.1512285376272
42,2024-10-30,ILI incidence,2024-11-10,3,HU,quantile,0.2,172.1620208370883
43,2024-10-30,ILI incidence,2024-11-17,4,HU,quantile,0.2,168.55681047284395
48,2024-10-30,ILI incidence,2024-10-27,1,HU,quantile,0.25,193.89112684008364
49,2024-10-30,ILI incidence,2024-11-03,2,HU,quantile,0.25,184.82556386633595
50,2024-10-30,ILI incidence,2024-11-10,3,HU,quantile,0.25,179.57996036945747
51,2024-10-30,ILI incidence,2024-11-17,4,HU,quantile,0.25,177.143201029084
56,2024-10-30,ILI incidence,2024-10-27,1,HU,quantile,0.3,197.11962019134
57,2024-10-30,ILI incidence,2024-11-03,2,HU,quantile,0.3,190.38171349098388
58,2024-10-30,ILI incidence,2024-11-10,3,HU,quantile,0.3,186.84339821034592
59,2024-10-30,ILI incidence,2024-11-17,4,HU,quantile,0.3,185.55075326251705
64,2024-10-30,ILI incidence,2024-10-27,1,HU,quantile,0.35,200.29552271915472
65,2024-10-30,ILI incidence,2024-11-03,2,HU,quantile,0.35,195.84735573273403
66,2024-10-30,ILI incidence,2024-11-10,3,HU,quantile,0.35,193.98851764834205
67,2024-10-30,ILI incidence,2024-11-17,4,HU,quantile,0.35,193.8213499420808
72,2024-10-30,ILI incidence,2024-10-27,1,HU,quantile,0.4,203.43327222254743
73,2024-10-30,ILI incidence,2024-11-03,2,HU,quantile,0.4,201.2473376527
74,2024-10-30,ILI incidence,2024-11-10,3,HU,quantile,0.4,201.0478007251688
75,2024-10-30,ILI incidence,2024-11-17,4,HU,quantile,0.4,201.9925895808234
80,2024-10-30,ILI incidence,2024-10-27,1,HU,quantile,0.45,206.54617418954743
81,2024-10-30,ILI incidence,2024-11-03,2,HU,quantile,0.45,206.604557635446
82,2024-10-30,ILI incidence,2024-11-10,3,HU,quantile,0.45,208.05118201857772
83,2024-10-30,ILI incidence,2024-11-17,4,HU,quantile,0.45,210.0991219591306
88,2024-10-30,ILI incidence,2024-10-27,1,HU,quantile,0.5,209.64682368612256
89,2024-10-30,ILI incidence,2024-11-03,2,HU,quantile,0.5,211.9406914484075
90,2024-10-30,ILI incidence,2024-11-10,3,HU,quantile,0.5,215.02699780459804
91,2024-10-30,ILI incidence,2024-11-17,4,HU,quantile,0.5,218.17374679609324
84,2024-10-30,ILI incidence,2024-10-27,1,HU,quantile,0.55,212.7474731826977
85,2024-10-30,ILI incidence,2024-11-03,2,HU,quantile,0.55,217.27682526136908
86,2024-10-30,ILI incidence,2024-11-10,3,HU,quantile,0.55,222.0028135906183
87,2024-10-30,ILI incidence,2024-11-17,4,HU,quantile,0.55,226.24837163305588
76,2024-10-30,ILI incidence,2024-10-27,1,HU,quantile,0.6,215.8603751496977
77,2024-10-30,ILI incidence,2024-11-03,2,HU,quantile,0.6,222.634045244115
78,2024-10-30,ILI incidence,2024-11-10,3,HU,quantile,0.6,229.0061948840273
79,2024-10-30,ILI incidence,2024-11-17,4,HU,quantile,0.6,234.3549040113631
68,2024-10-30,ILI incidence,2024-10-27,1,HU,quantile,0.65,218.9981246530904
69,2024-10-30,ILI incidence,2024-11-03,2,HU,quantile,0.65,228.03402716408092
70,2024-10-30,ILI incidence,2024-11-10,3,HU,quantile,0.65,236.06547796085405
71,2024-10-30,ILI incidence,2024-11-17,4,HU,quantile,0.65,242.52614365010567
60,2024-10-30,ILI incidence,2024-10-27,1,HU,quantile,0.7,222.1740271809052
61,2024-10-30,ILI incidence,2024-11-03,2,HU,quantile,0.7,233.4996694058312
62,2024-10-30,ILI incidence,2024-11-10,3,HU,quantile,0.7,243.21059739885013
63,2024-10-30,ILI incidence,2024-11-17,4,HU,quantile,0.7,250.79674032966943
52,2024-10-30,ILI incidence,2024-10-27,1,HU,quantile,0.75,225.40252053216147
53,2024-10-30,ILI incidence,2024-11-03,2,HU,quantile,0.75,239.05581903047903
54,2024-10-30,ILI incidence,2024-11-10,3,HU,quantile,0.75,250.4740352397386
55,2024-10-30,ILI incidence,2024-11-17,4,HU,quantile,0.75,259.2042925631025
44,2024-10-30,ILI incidence,2024-10-27,1,HU,quantile,0.8,228.69968765672328
45,2024-10-30,ILI incidence,2024-11-03,2,HU,quantile,0.8,244.73015435918785
46,2024-10-30,ILI incidence,2024-11-10,3,HU,quantile,0.8,257.89197477210774
47,2024-10-30,ILI incidence,2024-11-17,4,HU,quantile,0.8,267.79068311934253
36,2024-10-30,ILI incidence,2024-10-27,1,HU,quantile,0.85,232.0839118712176
37,2024-10-30,ILI incidence,2024-11-03,2,HU,quantile,0.85,250.55431258202267
38,2024-10-30,ILI incidence,2024-11-10,3,HU,quantile,0.85,265.50577463080776
39,2024-10-30,ILI incidence,2024-11-17,4,HU,quantile,0.85,276.60378531821743
28,2024-10-30,ILI incidence,2024-10-27,1,HU,quantile,0.9,235.57675086567536
29,2024-10-30,ILI incidence,2024-11-03,2,HU,quantile,0.9,256.56539389970914
30,2024-10-30,ILI incidence,2024-11-10,3,HU,quantile,0.9,273.36393512991566
31,2024-10-30,ILI incidence,2024-11-17,4,HU,quantile,0.9,285.69973909413204
20,2024-10-30,ILI incidence,2024-10-27,1,HU,quantile,0.95,239.2041489813999
21,2024-10-30,ILI incidence,2024-11-03,2,HU,quantile,0.95,262.8080478210153
22,2024-10-30,ILI incidence,2024-11-10,3,HU,quantile,0.95,281.5248256355344
23,2024-10-30,ILI incidence,2024-11-17,4,HU,quantile,0.95,295.1461079762431
12,2024-10-30,ILI incidence,2024-10-27,1,HU,quantile,0.975,241.07802879923992
13,2024-10-30,ILI incidence,2024-11-03,2,HU,quantile,0.975,266.032944239797
14,2024-10-30,ILI incidence,2024-11-10,3,HU,quantile,0.975,285.7406650681539
15,2024-10-30,ILI incidence,2024-11-17,4,HU,quantile,0.975,300.02601347195525
4,2024-10-30,ILI incidence,2024-10-27,1,HU,quantile,0.99,242.2242391954496
5,2024-10-30,ILI incidence,2024-11-03,2,HU,quantile,0.99,268.0055412904273
6,2024-10-30,ILI incidence,2024-11-10,3,HU,quantile,0.99,288.3193998089917
7,2024-10-30,ILI incidence,2024-11-17,4,HU,quantile,0.99,303.01094257917686
92,2024-10-30,ILI incidence,2024-10-27,1,HU,median,,209.64682368612256
93,2024-10-30,ILI incidence,2024-11-03,2,HU,median,,211.9406914484075
94,2024-10-30,ILI incidence,2024-11-10,3,HU,median,,215.02699780459804
95,2024-10-30,ILI incidence,2024-11-17,4,HU,median,,218.17374679609324
0,2024-10-30,ILI incidence,2024-10-27,1,LU,quantile,0.01,1436.447899927918
1,2024-10-30,ILI incidence,2024-11-03,2,LU,quantile,0.01,1163.4421011449529
2,2024-10-30,ILI incidence,2024-11-10,3,LU,quantile,0.01,1269.5621802404676
3,2024-10-30,ILI incidence,2024-11-17,4,LU,quantile,0.01,1258.2132039842531
8,2024-10-30,ILI incidence,2024-10-27,1,LU,quantile,0.025,1491.9321605983148
9,2024-10-30,ILI incidence,2024-11-03,2,LU,quantile,0.025,1223.635398940559
10,2024-10-30,ILI incidence,2024-11-10,3,LU,quantile,0.025,1336.5633201219673
11,2024-10-30,ILI incidence,2024-11-17,4,LU,quantile,0.025,1328.3175054020114
16,2024-10-30,ILI incidence,2024-10-27,1,LU,quantile,0.05,1582.6404953175338
17,2024-10-30,ILI incidence,2024-11-03,2,LU,quantile,0.05,1322.0422937666915
18,2024-10-30,ILI incidence,2024-11-10,3,LU,quantile,0.05,1446.1000022279777
19,2024-10-30,ILI incidence,2024-11-17,4,LU,quantile,0.05,1442.92738505842
24,2024-10-30,ILI incidence,2024-10-27,1,LU,quantile,0.1,1758.230860990119
25,2024-10-30,ILI incidence,2024-11-03,2,LU,quantile,0.1,1512.5352920199507
26,2024-10-30,ILI incidence,2024-11-10,3,LU,quantile,0.1,1658.1376956228817
27,2024-10-30,ILI incidence,2024-11-17,4,LU,quantile,0.1,1664.7856160672172
32,2024-10-30,ILI incidence,2024-10-27,1,LU,quantile,0.15,1927.3076638956643
33,2024-10-30,ILI incidence,2024-11-03,2,LU,quantile,0.15,1695.9619111125337
34,2024-10-30,ILI incidence,2024-11-10,3,LU,quantile,0.15,1862.3098047095816
35,2024-10-30,ILI incidence,2024-11-17,4,LU,quantile,0.15,1878.4139677912087
40,2024-10-30,ILI incidence,2024-10-27,1,LU,quantile,0.2,2091.126783932449
41,2024-10-30,ILI incidence,2024-11-03,2,LU,quantile,0.2,1873.6846194597947
42,2024-10-30,ILI incidence,2024-11-10,3,LU,quantile,0.2,2060.1328926308915
43,2024-10-30,ILI incidence,2024-11-17,4,LU,quantile,0.2,2085.3992430798826
48,2024-10-30,ILI incidence,2024-10-27,1,LU,quantile,0.25,2250.731757694693
49,2024-10-30,ILI incidence,2024-11-03,2,LU,quantile,0.25,2046.8355202603248
